Order Code,Out Order Code,Waybill No.,Package number,Order Type,Payment Type,Name of courier company,Platform,Order Subtype,Store,Invoice,invoiceTitle,tax invoice content,System Shortage,Appointment Delivery,Order Creation Time,Order Time,Payment time,WMS receiving time,cancelled time,Owner code,Owner name,Order Status,Picking Type,Province,City,District,outbound time,Expected outbound time,Expected # Items,Number of items shipped,Expected # SKU,total number of order package,order package outbound quantity,weight,distribute,LP code,Unified packing material,Recommend packaging material,transaction number,Priority Delivery (G)
SO123466,OO123466,Waybill133,PN12355,multiple SKU & single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 9:17,,,8/12/2024 9:17,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,3,0,3,1,0,,no,WH00000,no,,TXN016229,no
SO123467,OO123467,Waybill134,PN12356,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 9:39,,,8/12/2024 9:39,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016225,no
SO123468,OO123468,Waybill135,PN12357,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 9:25,,,8/12/2024 9:25,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016222,no
SO123469,OO123469,Waybill136,PN12358,multiple SKU & single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 9:11,,,8/12/2024 9:11,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,3,0,3,1,0,,no,WH00000,no,,TXN016206,no
SO123470,OO123470,Waybill137,PN12359,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 9:05,,,8/12/2024 9:05,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016162,no
SO123471,OO123471,Waybill138,PN12360,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 8:47,,,8/12/2024 8:47,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016224,no
SO123472,OO123472,Waybill139,PN12361,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 8:39,,,8/12/2024 8:39,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016217,no
SO123473,OO123473,Waybill140,PN12362,multiple SKU & single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 8:54,,,8/12/2024 8:54,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,3,0,3,1,0,,no,WH00000,no,,TXN016207,no
SO123474,OO123474,Waybill141,PN12363,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 8:42,,,8/12/2024 8:42,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016193,no
SO123475,OO123475,Waybill142,PN12364,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 8:36,,,8/12/2024 8:36,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016177,no
SO123476,OO123476,Waybill143,PN12365,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 8:35,,,8/12/2024 8:35,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016175,no
SO123477,OO123477,Waybill144,PN12366,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 8:35,,,8/12/2024 8:35,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016169,no
SO123478,OO123478,Waybill145,PN12367,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 8:34,,,8/12/2024 8:34,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016164,no
SO123479,OO123479,Waybill146,PN12368,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 8:14,,,8/12/2024 8:14,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016160,no
SO123480,OO123480,Waybill147,PN12369,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 8:14,,,8/12/2024 8:14,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016158,no
SO123481,OO123481,Waybill148,PN12370,multiple SKU & single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 8:04,,,8/12/2024 8:04,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,2,0,2,1,0,,no,WH00000,no,,TXN016202,no
SO123482,OO123482,Waybill149,PN12371,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 8:03,,,8/12/2024 8:03,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016179,no
SO123483,OO123483,Waybill150,PN12372,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 7:58,,,8/12/2024 7:58,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016170,no
SO123484,OO123484,Waybill151,PN12373,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 7:43,,,8/12/2024 7:43,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016168,no
SO123485,OO123485,Waybill152,PN12374,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 7:06,,,8/12/2024 7:06,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016161,no
SO123486,OO123486,Waybill153,PN12375,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 7:59,,,8/12/2024 7:59,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016140,no
SO123487,OO123487,Waybill154,PN12376,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 7:54,,,8/12/2024 7:54,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016133,no
SO123488,OO123488,Waybill155,PN12377,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 7:44,,,8/12/2024 7:44,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN013555,no
SO123489,OO123489,Waybill156,PN12378,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 7:30,,,8/12/2024 7:30,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016129,no
SO123490,OO123490,Waybill157,PN12379,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 7:15,,,8/12/2024 7:15,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016127,no
SO123491,OO123491,Waybill158,PN12380,multiple SKU & single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 7:14,,,8/12/2024 7:14,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,2,0,2,1,0,,no,WH00000,no,,TXN016115,no
SO123492,OO123492,Waybill159,PN12381,multiple SKU & single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 7:09,,,8/12/2024 7:09,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,2,0,2,1,0,,no,WH00000,no,,TXN016113,no
SO123493,OO123493,Waybill160,PN12382,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 7:06,,,8/12/2024 7:06,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016112,no
SO123494,OO123494,Waybill161,PN12383,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 7:05,,,8/12/2024 7:05,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016111,no
SO123495,OO123495,Waybill162,PN12384,multiple SKU & single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 7:03,,,8/12/2024 7:03,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,2,0,2,1,0,,no,WH00000,no,,TXN016082,no
SO123496,OO123496,Waybill163,PN12385,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 7:41,,,8/12/2024 7:41,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016074,no
SO123497,OO123497,Waybill164,PN12386,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 7:15,,,8/12/2024 7:15,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016088,no
SO123498,OO123498,Waybill165,PN12387,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 7:10,,,8/12/2024 7:10,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016083,no
SO123499,OO123499,Waybill166,PN12388,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 7:09,,,8/12/2024 7:09,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016078,no
SO123500,OO123500,Waybill167,PN12389,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 7:06,,,8/12/2024 7:06,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016079,no
SO123501,OO123501,Waybill168,PN12390,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 6:35,,,8/12/2024 6:35,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016062,no
SO123502,OO123502,Waybill169,PN12391,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 6:19,,,8/12/2024 6:19,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016055,no
SO123503,OO123503,Waybill170,PN12392,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 6:10,,,8/12/2024 6:10,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016047,no
SO123504,OO123504,Waybill171,PN12393,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 6:05,,,8/12/2024 6:05,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016058,no
SO123505,OO123505,Waybill172,PN12394,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 6:03,,,8/12/2024 6:03,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016031,no
SO123506,OO123506,Waybill173,PN12395,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 5:59,,,8/12/2024 5:59,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016025,no
SO123507,OO123507,Waybill174,PN12396,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 5:16,,,8/12/2024 5:16,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016014,no
SO123508,OO123508,Waybill175,PN12397,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 5:10,,,8/12/2024 5:10,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016053,no
SO123509,OO123509,Waybill176,PN12398,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 4:58,,,8/12/2024 4:58,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016017,no
SO123510,OO123510,Waybill177,PN12399,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 4:57,,,8/12/2024 4:57,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016007,no
SO123511,OO123511,Waybill178,PN12400,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 3:43,,,8/12/2024 3:43,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN015996,no
SO123512,OO123512,Waybill179,PN12401,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 3:27,,,8/12/2024 3:27,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016043,no
SO123513,OO123513,Waybill180,PN12402,multiple SKU & single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 3:51,,,8/12/2024 3:51,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,2,0,2,1,0,,no,WH00000,no,,TXN016023,no
SO123514,OO123514,Waybill181,PN12403,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 3:44,,,8/12/2024 3:44,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN015998,no
SO123515,OO123515,Waybill182,PN12404,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 3:40,,,8/12/2024 3:40,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN015974,no
SO123516,OO123516,Waybill183,PN12405,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 3:40,,,8/12/2024 3:40,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN015983,no
SO123517,OO123517,Waybill184,PN12406,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 2:56,,,8/12/2024 2:56,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN015943,no
SO123518,OO123518,Waybill185,PN12407,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 2:47,,,8/12/2024 2:47,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN015939,no
SO123519,OO123519,Waybill186,PN12408,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 2:39,,,8/12/2024 2:39,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN015938,no
SO123520,OO123520,Waybill187,PN12409,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 2:52,,,8/12/2024 2:52,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN015935,no
SO123521,OO123521,Waybill188,PN12410,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 2:14,,,8/12/2024 2:14,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN015976,no
SO123522,OO123522,Waybill189,PN12411,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 2:09,,,8/12/2024 2:09,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN015963,no
SO123523,OO123523,Waybill190,PN12412,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 2:03,,,8/12/2024 2:03,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN015964,no
SO123524,OO123524,Waybill191,PN12413,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 2:44,,,8/12/2024 2:44,,12345678,Seller A,intercepted,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN015960,no
SO123525,OO123525,Waybill192,PN12414,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 2:06,,,8/12/2024 2:06,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN015957,no
SO123526,OO123526,Waybill193,PN12415,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 1:56,,,8/12/2024 1:56,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN015954,no
SO123527,OO123527,Waybill194,PN12416,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 1:43,,,8/12/2024 1:43,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN015946,no
SO123528,OO123528,Waybill195,PN12417,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 2:30,,,8/12/2024 2:30,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN015931,no
SO123529,OO123529,Waybill196,PN12418,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 2:09,,,8/12/2024 2:09,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN015925,no
SO123530,OO123530,Waybill197,PN12419,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 1:47,,,8/12/2024 1:47,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN015972,no
SO123531,OO123531,Waybill198,PN12420,multiple SKU & single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 1:24,,,8/12/2024 1:24,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,2,0,2,1,0,,no,WH00000,no,,TXN015970,no
SO123532,OO123532,Waybill199,PN12421,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 1:40,,,8/12/2024 1:40,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN015968,no
SO123533,OO123533,Waybill200,PN12422,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 1:38,,,8/12/2024 1:38,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN015965,no
SO123534,OO123534,Waybill201,PN12423,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 1:33,,,8/12/2024 1:33,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN015961,no
SO123535,OO123535,Waybill202,PN12424,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 1:03,,,8/12/2024 1:03,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN015959,no
SO123536,OO123536,Waybill203,PN12425,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 0:57,,,8/12/2024 0:57,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN015929,no
SO123537,OO123537,Waybill204,PN12426,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 0:56,,,8/12/2024 0:56,,12345678,Seller A,intercepted,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN015914,no
SO123538,OO123538,Waybill205,PN12427,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 0:54,,,8/12/2024 0:54,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN015910,no
SO123539,OO123539,Waybill206,PN12428,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 1:26,,,8/12/2024 1:26,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN015906,no
SO123540,OO123540,Waybill207,PN12429,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 1:16,,,8/12/2024 1:16,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN015936,no
SO123541,OO123541,Waybill208,PN12430,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 0:40,,,8/12/2024 0:40,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN015926,no
SO123542,OO123542,Waybill209,PN12431,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 1:17,,,8/12/2024 1:17,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN015913,no
SO123543,OO123543,Waybill210,PN12432,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 1:14,,,8/12/2024 1:14,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN015905,no
SO123544,OO123544,Waybill211,PN12433,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 1:13,,,8/12/2024 1:13,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN015840,no
SO123545,OO123545,Waybill212,PN12434,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 1:11,,,8/12/2024 1:11,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN015838,no
